category_name,engagement_score
Music,305029.5498036935
Entertainment,104040.97128452433
Comedy,90110.23687089716
Science & Technology,72442.54440154441
Film & Animation,65658.35389988359
People & Blogs,56771.00751879699
Sports,49742.668065023594
Shows,46204.55
Gaming,43958.07606263982
Education,43320.459518599564
News & Politics,35770.218775510206
Pets & Animals,31945.940074906368
Howto & Style,31288.295643153528
Autos & Vehicles,30068.75
Travel & Events,11267.072916666666
